global_round,train_loss,train_mae,train_mape,train_r2,train_mse,dev_loss,dev_mae,dev_mape,dev_r2,dev_mse,test_loss,test_mae,test_mape,test_r2,test_mse
62,74170397.44,4296.259540767271,10.031618176390742,0.4990196536751377,74170398.07834512,105434899.57894737,4611.035525932026,4.335004071438251,0.31837896618509154,105434898.11603712,125500450.42603102,4103.067871955894,2.8197008246292254,-0.04001438056426454,125500443.26350814
63,73575759.74857143,4324.211992771567,10.071940714888697,0.5030361067197002,73575760.1382272,104944030.73684211,4646.645121732727,4.47625292743787,0.321552342774851,104944032.0470244,125172846.0254761,4201.571820882007,2.92913042832849,-0.03729960348506256,125172846.1329602
64,72232331.36,4311.349922892307,9.894824102263314,0.5121102338589549,72232330.94570632,104939668.63157895,4648.720376411453,4.436640176020552,0.3215805528443335,104939668.44077668,125156088.08777905,4173.370922460519,2.8982537139994466,-0.0371608148390683,125156098.25243303
65,73055149.05142857,4313.658681164751,9.854878432861563,0.5065525496793721,73055148.94848298,106101534.10526316,4654.84706603373,4.498237716013952,0.3140692386683641,106101537.87492318,125029254.57232942,4173.270321066014,2.9001837601561244,-0.03610959695804472,125029245.8622157
66,71401243.17714286,4303.543422902934,10.084345428149641,0.5177237771582875,71401242.97150555,102938641.05263157,4638.5042173688935,4.507730493720153,0.3345168977887544,102938641.26651946,125638953.90541051,4202.17861570141,2.9277589908058896,-0.041162210623846285,125638954.0225522
67,72725685.69142857,4300.4118790309185,10.000000915543877,0.5087778941465465,72725685.55495349,104650464.42105263,4628.753420599099,4.462242828878192,0.32345020887277554,104650465.22800677,125309066.23432967,4162.036803283191,2.882214107317527,-0.038428498790716636,125309072.000511
68,72478338.28571428,4292.978870471828,9.999282737459364,0.5104485887475116,72478338.35953961,104210250.73684211,4628.101949850097,4.423723163962538,0.3262961507173253,104210247.60921516,124678492.90957245,4120.762680348148,2.8411835657649527,-0.033202917795067455,124678491.55516417
69,71466616.48,4265.606041538656,10.081129117470171,0.5172822119752452,71466616.92408483,103898014.73684211,4609.36817511279,4.387099936130502,0.3283147053263781,103898012.38026986,124844627.74977928,4098.3194879827015,2.8086217770399267,-0.034579674604104715,124844627.32504313
70,71303118.24,4267.557135292744,10.265926313885213,0.5183865569865559,71303118.07686332,104497127.57894737,4618.883788216957,4.395702242477478,0.32444151834165247,104497126.92465727,125053491.13633497,4103.800476174289,2.816792667474738,-0.03631046256835746,125053484.68391062
71,70067575.17714286,4278.834890246673,10.072680209556053,0.5267319725657984,70067575.00579788,102600241.05263157,4624.217349348786,4.483603846124971,0.33670462238843624,102600238.38745567,125236368.40660866,4159.322946164298,2.882938154568697,-0.037825958573941554,125236362.3671612
72,70029415.13142857,4254.320763898178,10.117592050859697,0.5269897223932428,70029415.01120645,103461368.63157895,4608.716148359113,4.4043611152707225,0.33113754378384164,103461368.45293248,125258500.91713962,4112.364181174082,2.8285632597557453,-0.03800940115224449,125258498.71962002
73,69987642.14857143,4271.817321234713,10.021247894907924,0.5272718760279296,69987642.02039456,103716962.10526316,4627.457723148461,4.450222424546196,0.32948517616079953,103716960.93518119,124686914.9764157,4122.457263505358,2.847806624256047,-0.033272672722024055,124686909.01016907
74,69084614.56,4247.754705994071,10.098646538879736,0.5333713345052907,69084614.05403426,103467028.42105263,4611.392205722924,4.368845380610729,0.33110095249898275,103467028.48717384,124606991.60903014,4095.9554339748174,2.814613912145879,-0.032610466059951104,124606999.31740397
75,71400797.48571429,4267.003400894856,10.183697743820652,0.5177267831674194,71400797.93030669,104677690.73684211,4616.637081756306,4.301042501411971,0.3232741797911728,104677693.85999362,124386159.42893177,4058.733558703858,2.7757023788679067,-0.03078037150105395,124386158.44957758
76,71006225.92,4294.56500256771,10.306636599699468,0.520391905196452,71006225.24243416,103829986.73684211,4644.718764538729,4.4305677187662384,0.32875449666922807,103829984.32197155,124780390.0986253,4180.357539742362,2.9066989499347335,-0.03404740823876118,124780397.76626661
77,69170439.58857143,4261.974532242784,10.260626386125425,0.5327916315920564,69170439.36865424,103610833.89473684,4626.923010683276,4.379711666163643,0.3301712757863414,103610833.27695504,124517018.92445454,4112.780442971903,2.842968451913077,-0.03186482064356477,124517020.91708308
78,71344744.38857143,4291.884548513831,10.270416874842766,0.5181053985391344,71344743.72968847,104827646.31578948,4646.066838171823,4.424765796756904,0.32230475268265235,104827647.34345013,124475463.03291714,4136.866464992778,2.861736160382254,-0.03152046179136758,124475466.5026441
79,70112635.36,4266.7041549583255,10.341628992229365,0.526427618069907,70112634.84553573,104605694.94736843,4626.531243281831,4.3833162322446615,0.3237396499111982,104605693.74226505,124657733.55278093,4118.358038985153,2.8368506392624404,-0.03303097138983735,124657742.46700037
80,69204842.51428571,4246.157650444449,10.297720127967532,0.532559252278271,69204843.24564281,104881085.89473684,4618.186371007934,4.3070689868009255,0.3219592819090423,104881085.65302485,124921282.3755833,4091.3178534813856,2.8138655573227687,-0.03521487406194468,124921278.00892732
