global_round,train_loss,train_r2,train_mse,train_mape,train_mae,dev_loss,dev_r2,dev_mse,dev_mape,dev_mae,test_loss,test_r2,test_mse,test_mape,test_mae
68,129127434.81263158,0.03666580288649446,129127434.86887386,1.3851294387829058,4473.519136956711,113737172.3076923,0.021690941639803674,113737170.4870144,2.070009549826982,4868.881769987253,123501722.21112372,-0.02345107697808868,123501719.03351691,0.9445009742951209,2885.0463459064445
69,128193289.79368421,0.043634838553262,128193289.99801204,1.4069743771675762,4451.538981138907,113135088.82051282,0.026869739174216423,113135088.9944066,2.1038579425414596,4861.502468195099,123426476.90099634,-0.022827558808958148,123426477.95217122,0.9514112029690631,2888.810404150284
70,127707725.4736842,0.04725730140632545,127707727.10869965,1.4277228772206974,4447.726830523885,112737936.82051282,0.030285819046953044,112737939.18212341,2.1490832332346974,4863.150470877687,123347659.77449867,-0.022174325815628837,123347651.12847605,0.9622123135395386,2891.8958148463166
71,126945930.20631579,0.05294056163018601,126945930.40658076,1.436936130396116,4436.610260333764,111942441.84615384,0.03712827467225177,111942442.56952034,2.1941586310388086,4857.3269026523985,123163756.1783327,-0.02065034729290116,123163749.84432012,0.9679528570620913,2891.9743201546507
72,126174982.17263158,0.05869209862359581,126174981.73608012,1.4633966939580756,4406.7636709343915,111363853.53846154,0.04210499024597436,111363854.91070561,2.2658380946022563,4846.539150175376,123151410.97944255,-0.02054805667706705,123151406.24804996,0.9683639775886322,2883.681246148065
73,125418932.61473684,0.06433248242446488,125418932.28401615,1.501167931357566,4396.679736679416,110882466.25641026,0.04624564402155573,110882466.9072148,2.275894579944158,4834.241155954508,123014579.99369404,-0.019414213975245564,123014583.36912736,0.9680807531335048,2872.362324663062
74,124873663.70526315,0.06840037578475167,124873662.90968284,1.538706927659229,4393.830503772089,110442297.43589744,0.05003176670850007,110442296.31097035,2.311494329378361,4832.281134136212,122939166.38693404,-0.018789268191035324,122939170.01485094,0.9808416722619022,2880.5109566900105
75,124174654.15578948,0.07361521018933126,124174655.03479685,1.5366962540967335,4377.113026370312,109880339.8974359,0.05486542864056465,109880339.91636708,2.3528168747448275,4831.513763985573,122815435.05713205,-0.017763910494501767,122815438.2205379,0.9899794964210258,2884.8304525609424
76,123714435.58736841,0.07704859656462315,123714436.37248464,1.5512773727309837,4355.550305045451,109188841.43589744,0.06081335023632284,109188840.87851287,2.405666112902818,4809.011948418923,122899091.82746878,-0.018457144085094024,122899091.98968796,0.9852933254111997,2876.266747522661
77,122783648.88421053,0.08399258589430159,122783648.76774172,1.6054965941379815,4353.701492695808,108760973.74358974,0.06449363616126469,108760974.75163913,2.45372091857068,4817.874225060145,122810737.47887501,-0.01772495716252176,122810737.65050593,1.009326174159091,2895.241092161808
78,121990553.14526317,0.08990936124903293,121990551.18380763,1.6535234258609635,4347.059800696189,108265011.28205128,0.068759659802752,108265011.38089538,2.483577767586821,4817.19012548679,122594227.7543196,-0.015930718186471404,122594223.54164062,1.0181420456493937,2886.5998201575912
79,121604995.71368422,0.0927857399616735,121604995.05387098,1.6739081915977414,4334.991846183644,107983219.07692307,0.07118350262674311,107983217.99244604,2.5367423497783186,4809.86953305434,122721080.91234708,-0.016982010654845947,122721084.93245044,1.020994760697206,2888.8810185675275
80,120736860.72421053,0.09926229816767129,120736862.94517462,1.699906933255036,4314.943360146127,107111059.8974359,0.07868535000902954,107111061.19557773,2.6171225898877153,4800.0554080284555,122643988.05902384,-0.016343134223800515,122643990.54146394,1.0408536421138053,2901.059399815883
81,119757979.53684211,0.10656509814018755,119757979.5725745,1.7269282845914466,4308.33007760371,106910980.71794872,0.08040635048708988,106910979.51064529,2.6530397553655,4816.966736556627,122755158.63185774,-0.01726434853315073,122755155.1621891,1.0561916036997974,2922.4439881260178
82,119258599.89052631,0.1102906346309217,119258600.46613319,1.7534559883785665,4298.561118744816,106541770.35897435,0.08358209569701636,106541770.75061381,2.690398029044273,4804.531931718955,122633929.68545844,-0.01625976516727423,122633930.244468,1.0447932811639151,2904.0985603346953
83,118846023.17473684,0.11336859439471858,118846023.96867304,1.7860121993051816,4296.456642505244,106074803.07692307,0.08759872345374753,106074801.88014668,2.7222323662868697,4802.386442928742,122425864.50119813,-0.014535479415206831,122425857.51947358,1.0566652982777813,2905.9151274687947
84,117607018.33263157,0.12261198898711778,117607019.0244141,1.8545239379962561,4282.051450795579,105432137.23076923,0.09312659761980413,105432137.10966058,2.795615977968789,4801.839180978445,122379306.62756968,-0.014149713794140206,122379306.47427225,1.0772398133194971,2919.7848193230825
85,116604044.27789474,0.13009452309021696,116604043.69358173,1.8924397379286113,4257.055400841887,104357914.66666667,0.10236650904333267,104357914.83615501,2.929205157925997,4785.503413166755,122747054.0797074,-0.017197270662045128,122747060.7524249,1.0906157806208485,2932.1714105008305
86,116054433.7263158,0.1341947941379118,116054434.34280565,1.9227439226935958,4253.8110307539455,104341434.35897435,0.10250828701936332,104341431.87947246,2.9640944674472998,4796.473934794084,122615396.1906924,-0.016106151789304857,122615393.43633667,1.1037308648209234,2942.1545924959964
87,116019029.33052632,0.13445892511614177,116019029.6454634,1.9336490436818168,4263.598290594879,104577773.12820514,0.10047539486986945,104577773.75836322,2.9659886082681557,4819.706085046132,122411747.85647623,-0.01441852405247146,122411744.30129154,1.1100566906136067,2938.3138003494237
88,114852508.25263157,0.1431615682912485,114852508.21069258,2.027102361268891,4250.054961533013,103489335.28205128,0.10983758074013272,103489335.98774493,3.1259349108654204,4811.078153050863,122725950.35162063,-0.017022373427403314,122725955.58226255,1.122257874206695,2940.593634965396
89,114455482.18947369,0.14612351718896743,114455482.06491561,2.029022258818044,4242.1801949122155,103115746.05128205,0.11305101490100011,103115745.5503672,3.071582606558981,4783.567934340392,122591585.64383908,-0.015908879411001386,122591588.21654026,1.1218655675242934,2937.1768325611297
90,113525748.58105263,0.1530596430380582,113525748.49840832,2.1151754335611157,4238.7469887096,102930753.74358974,0.11464221318898216,102930754.52998127,3.202469758795422,4812.889658692556,122821551.76087779,-0.017814599784714558,122821554.99018003,1.1542668477179614,2965.1983739145917
91,113409948.57263158,0.1539235480801764,113409948.76619361,2.134630093024352,4240.723722035822,102983406.97435898,0.11418934072655762,102983405.0007374,3.133021763959112,4804.543337924358,122568660.62731744,-0.01571886098029629,122568658.34390832,1.151238714725253,2951.751151011892
92,111468602.94736843,0.16840664461257449,111468602.64789891,2.1951221522731874,4213.179696854541,102012488.1025641,0.12254067115358092,102012488.20869231,3.2641890544378183,4806.386396045868,123082618.04691638,-0.01997798814053464,123082615.031926,1.2000298397073135,3011.1355779375763
93,111512345.73473684,0.16808029230252108,111512347.62942973,2.262352754820958,4216.236681321922,101592104.3076923,0.126156601776938,101592103.96072538,3.3707222473178238,4798.624976537167,122953108.50296381,-0.018904862200911143,122953118.95608594,1.190077576718136,2981.2058818353835
94,111717145.1368421,0.16655242647015678,111717146.1265122,2.2941039118821465,4227.424836309082,101556686.87179486,0.12646124689273708,101556686.2436169,3.398423449328676,4799.419504752526,122526167.58935553,-0.01536670898429593,122526163.51650971,1.1694970181420203,2942.9658136077933
95,110216797.91157895,0.17774553126277637,110216797.73815411,2.3335202286742014,4203.519311191409,100864820.51282051,0.1324123154581922,100864821.34241317,3.450559048808062,4794.452555931532,122898374.49993694,-0.01845124827684197,122898380.53169002,1.2022224449269363,2990.299071518947
96,110185446.26526316,0.17797941971293307,110185446.8158006,2.385631754496153,4213.722170200097,100757087.07692307,0.1333390020116898,100757085.74943008,3.5131393020688835,4802.72830310846,122775704.65430698,-0.017434714428227194,122775713.52729312,1.21166938313947,2978.122491808403
97,108667479.22526316,0.18930397116741204,108667479.027738,2.4545977129547456,4198.807930756682,100001466.35897435,0.13983844985879768,100001466.85625838,3.6016478646193955,4803.564159359687,122945989.78282255,-0.01884577747286742,122945989.09355888,1.2478354268370613,3018.8335831779627
98,108294374.88842106,0.19208744782261467,108294375.69394101,2.505065432786128,4206.519429348879,100007963.48717949,0.1397825674360924,100007963.68727934,3.647251492190718,4824.022602076714,122946324.09887753,-0.018848539228080607,122946322.35962704,1.2729816611430056,3030.3483937870046
99,108510983.36842105,0.1904714806378558,108510983.49009879,2.541859666598329,4218.175623499469,99772808.20512821,0.14180524921799698,99772808.85486364,3.6737494783568487,4812.114917996602,122789818.27721024,-0.017551685278417883,122789828.61437479,1.2516943304912096,2989.8639529792667
