global_round,train_loss,train_mse,train_mae,train_r2,train_mape,dev_loss,dev_mse,dev_mae,dev_r2,dev_mape,test_loss,test_mse,test_mae,test_r2,test_mape
91,124223462.997151,124223463.57254598,5030.211850177595,0.03399998455349884,1.512409219582222,137498677.94871795,137498679.64849025,5392.496134509882,-0.007725493782887227,1.4937039805699925,121895981.73489721,121895982.8995224,2847.380887470445,-0.01014444134143555,0.9822071290008717
92,123491034.91737892,123491035.00369373,5022.413353027298,0.03969557529358092,1.5497414068684454,136831596.1025641,136831597.38442373,5387.174109144136,-0.002836459170563854,1.5417453113949786,121855894.84626056,121855897.84680414,2856.7224416102235,-0.00981225899858007,0.9966854319557259
93,123036937.8005698,123036938.20924199,5016.503274942213,0.04322677220146964,1.5570533839940819,136308322.25641027,136308323.09317335,5379.974890621164,0.000998609245236537,1.5435204306205808,121761412.57005927,121761410.18180962,2853.040465505145,-0.009029245585839396,1.0005629060084609
94,122147467.22507122,122147466.96650389,4988.832529116823,0.05014357527162738,1.561367962141801,135564414.56410256,135564413.5013053,5355.385804644595,0.006450710041487895,1.5538076829687555,121636713.9079329,121636704.69662678,2865.0786841069335,-0.007995818973527857,1.0108263446880998
95,121317222.41595441,121317222.0773398,4986.835814639186,0.056599815926103414,1.5894668874166058,134776415.17948717,134776415.01950353,5354.83130665219,0.01222593756515522,1.580696966553168,121506937.59793164,121506932.21385305,2872.6097457761616,-0.00692040246680814,1.0280658810549217
96,120749428.61538461,120749428.44117899,4977.068462690712,0.06101515458699536,1.6193910291949387,134288120.2051282,134288120.5788011,5346.487327797506,0.015804639248882313,1.6089456315142598,121500598.86568293,121500596.41178219,2875.553708696985,-0.006867898068459111,1.039900699632984
97,119815081.39031339,119815081.86697403,4969.598246761484,0.06828092209304526,1.6535854802057655,133411354.05128205,133411354.90729477,5340.91444914917,0.022230440002091845,1.6439080586008317,121318435.4892168,121318431.17353399,2883.340171197306,-0.005358306050371464,1.0518811346500065
98,119162278.59829059,119162279.1015165,4953.438872282903,0.07335731799587897,1.657385639941949,132851039.79487179,132851037.79304685,5327.171470530785,0.026336994640099864,1.6549531604443009,121319377.95384033,121319375.77267964,2903.9426904943675,-0.005366133884838087,1.0715032348202889
99,118735044.44444445,118735043.8835987,4961.4290237849145,0.07667963098924413,1.7200342684433498,132293427.48717949,132293428.76592149,5331.8266964805525,0.030423701753464205,1.7061116516038872,121274120.57333837,121274114.24664102,2903.5964570824262,-0.004991054429002162,1.0845258911072369
100,117997714.00569801,117997714.03561455,4937.831437315404,0.08241333558946962,1.723074654734138,131793275.28205128,131793274.13382412,5312.4852722648,0.034089326579001655,1.7101218261757647,121110369.72733006,121110371.5387521,2888.7288412015214,-0.0036341287760826013,1.0788649872784468
101,117485781.25356126,117485781.2027184,4936.109565230569,0.08639428339323496,1.743604046524141,131292729.02564102,131292731.85757804,5311.244950040411,0.037757792441938,1.735035067825285,121214624.93000378,121214628.05805011,2920.672968409915,-0.00449809607785423,1.1019111234834298
