global_round,train_loss,train_mse,train_mape,train_mae,train_r2,dev_loss,dev_mse,dev_mape,dev_mae,dev_r2,test_loss,test_mse,test_mape,test_mae,test_r2
145,18751687.225071225,18751687.28205798,1.3017675694990598,2052.4947777989923,0.2722093435911842,25437382.717948716,25437383.207835946,0.9842630910966005,2217.0137196229052,0.03285174313982786,119314002.70500694,119313994.93971306,1.136539365356097,2594.7645982715126,0.011252332556862754
146,19017927.626780625,19017927.61816909,1.3933886055327669,2064.4364147899496,0.2618760212577741,25397559.089743588,25397559.151147913,1.0066173950033874,2220.5991927599293,0.034365883438467915,119380610.5453399,119380609.52172011,1.1456323809641524,2599.102555112229,0.010700301652102229
147,19526346.125356127,19526346.028874915,1.3743511915798803,2079.2827595781396,0.24214328130258278,25228149.076923076,25228149.33611275,1.0053189421192112,2219.176007680404,0.04080697079275952,119313414.29007441,119313409.80027536,1.1532903335259128,2602.4147172904522,0.011257181571049713
148,18866446.0997151,18866446.108165175,1.3482389383007372,2068.1195153157596,0.2677553229942655,25308210.243589744,25308210.646789953,1.0073911068889094,2223.0840899455243,0.03776298012631596,119474277.59465255,119474285.56131849,1.1683568162286666,2615.553110423613,0.009924014128622538
149,19316378.269230768,19316378.268692084,1.4164844675164467,2089.428419037762,0.2502925519100533,25332973.17948718,25332973.09583765,1.0341529978656694,2234.0211291618834,0.036821493368956126,119366927.81864044,119366918.29462858,1.1817299356529292,2621.8614968511433,0.01081376000087364
150,18353947.266381767,18353947.269997694,1.4313454376563663,2070.6043839936924,0.28764643253700817,25551070.512820512,25551070.53810671,1.0434561048174789,2244.5584203463336,0.028529266161748446,119698647.28641695,119698639.06463331,1.1863948306737788,2628.971126360586,0.00806481057754449
151,18351658.752136752,18351658.799056962,1.3899813439295525,2069.5746758099635,0.28773525269185996,25397625.205128204,25397625.461694773,1.0330446333913048,2241.555770391073,0.03436336226208414,119480250.10467903,119480245.10584034,1.196331527821991,2635.6780661463754,0.009874627753219012
152,18652289.17948718,18652289.092874892,1.3803171041874787,2086.225010706489,0.27606718700886,25313812.384615384,25313812.240494616,1.0484734174722412,2249.8208601810993,0.03755000336125969,119471540.47269517,119471540.06545216,1.2333750666786039,2661.4594595239537,0.009946765882389408
153,18318141.83903134,18318141.714675006,1.441841661397778,2080.317281835779,0.2890361180740699,25409981.987179488,25409981.247904878,1.058671970504899,2252.2851173205254,0.033893586067040626,119297584.77739942,119297593.5630906,1.2161976222841688,2644.535154941389,0.011388249746514423
154,18146033.77920228,18146033.763396088,1.4136496175847897,2078.669268566998,0.2957159734359023,25402055.782051284,25402055.622381344,1.0583967759932595,2255.793365564102,0.03419492425292969,119345171.38302433,119345178.18498507,1.2249540430887875,2652.6377456016507,0.010993918939570135
155,18807562.878917377,18807562.82227351,1.4671562172912207,2106.87919550336,0.270040701618919,25225834.0,25225834.400548875,1.0822202378646288,2261.708962630003,0.04089498636720168,119109043.07050069,119109046.08994529,1.2425174304279951,2657.341448045496,0.012950730948899203
156,18230643.80911681,18230643.802014615,1.49135655056597,2098.947132705623,0.2924320878517036,25297707.512820512,25297707.18399695,1.0909649720004024,2267.5090392186094,0.03816232960531907,119194710.81750536,119194715.52584928,1.2352373143474689,2651.06431614422,0.012240793653076842
157,18083204.085470084,18083204.12485589,1.4561671984570372,2095.583813474389,0.2981545179352473,25340295.435897436,25340295.694804896,1.0897066936405004,2273.741299745364,0.03654308270190776,119331123.17164838,119331125.67327328,1.257177468400986,2672.1376711031967,0.011110371231556337
158,18150420.60968661,18150420.621897675,1.532781193465296,2110.4043168505373,0.29554571064405755,25366510.846153848,25366511.096889783,1.1202777554763539,2282.8243309412246,0.03554635358782665,119415072.24769832,119415068.52342251,1.276624318799786,2684.973739702925,0.010414742044674075
159,17935010.404558405,17935010.46226768,1.5325045978555671,2110.6092401732744,0.3039062117081004,25510706.85897436,25510707.250896785,1.1300340864420413,2295.676535948729,0.03006390840648221,119426237.59868836,119426241.8714734,1.2886750821572273,2699.6041695225176,0.01032214920316854
160,17855725.87037037,17855725.79154827,1.5266870215798867,2100.540994688996,0.30698340906522803,25467427.012820512,25467426.76255307,1.1145755779062545,2283.988242461131,0.03170946481123016,119441173.34241392,119441170.44832824,1.265086462660965,2677.2851403465274,0.010198437013739792
161,17706666.435897436,17706666.379716873,1.5161449361221897,2109.3822398871775,0.3127687043055387,25544121.846153848,25544121.541080486,1.1276452471608307,2296.141765258251,0.02879347220471784,119241985.44633624,119241979.59730677,1.285329771198186,2690.2756865558295,0.011849119227699823
162,18311902.83048433,18311902.79451537,1.4679803567561924,2119.855451090723,0.2892782630997395,25305833.756410256,25305833.584006622,1.1166756046144426,2288.6993846068017,0.03785335782391819,119292605.21982595,119292608.06672177,1.2886653284337655,2689.763915168877,0.011429564245356127
163,18095355.03846154,18095355.066059943,1.4940381167175554,2110.5934600585547,0.29768291549532466,25284808.5,25284809.019121543,1.114596692989051,2285.1757443684796,0.03865272744121362,119410658.59074284,119410661.55278863,1.273864860985506,2679.508306362091,0.010451262336672817
164,18059589.0,18059588.88805293,1.5778395113342052,2113.4013245506503,0.2990710727196544,25332248.85897436,25332248.612895716,1.1308055403509458,2288.4438285583105,0.03684903875004708,119200817.87715979,119200822.56380083,1.2677616241100274,2673.3279508007836,0.012190185008779775
165,17792560.995726496,17792561.181450047,1.600746823545725,2119.0603409418013,0.30943495448371316,25307689.46153846,25307689.123205416,1.150770726463144,2301.612456609041,0.037782808841462345,119317135.89960903,119317147.6207525,1.2932004992230104,2694.1660378252004,0.011226206484849954
166,17761014.94301994,17761014.95669619,1.5379278947725026,2116.2793855205223,0.3106593268442098,25369283.974358976,25369283.905489177,1.1386386774580257,2301.5223366847404,0.03544092933952259,119390802.88207844,119390807.04151288,1.3077773787621876,2709.850728591494,0.010615795438779108
167,17954659.314814813,17954659.26743348,1.623354298443982,2127.651733187189,0.3031436021042728,25243351.423076924,25243350.91335224,1.1605080554307072,2304.2770046148544,0.040228995503061915,119274011.90011351,119274010.31421673,1.3029542478728617,2696.211338335245,0.011583682665565975
168,18248061.5982906,18248061.637611493,1.6579333275731591,2151.797425259892,0.29175606665896525,25065468.615384616,25065468.603710413,1.1825982438832392,2313.6056895745105,0.046992213413124206,119147466.91814856,119147467.45218357,1.3224112022005199,2706.095691516851,0.012632335505746939
