global_round,train_loss,train_mape,train_r2,train_mse,train_mae,dev_loss,dev_mape,dev_r2,dev_mse,dev_mae,test_loss,test_mape,test_r2,test_mse,test_mae
79,9397156486.582857,4.9042277952773095,0.4174438469927786,9397156457.581478,46934.39855838912,9527698809.263159,5.126373843002676,0.4067254682617275,9527698879.616894,47419.76597004188,1428108143.6791525,21.79270854897865,-10.834643391361062,1428108129.3082986,25516.621350422498
80,9245872701.44,5.038238486825182,0.42682234857506296,9245872763.723885,46876.137716474535,9376496208.842106,5.273178225738011,0.4161406016241078,9376496441.64039,47375.007694859254,1477756320.1251104,22.285505463801943,-11.246074743182579,1477756305.3249514,26096.588013049408
81,9048174001.005714,5.148632031653276,0.4390782488233519,9048174032.76523,46634.674675768445,9175116288.0,5.391444758263958,0.4286802309182677,9175116126.819319,47128.742808304334,1549486871.0687351,22.78285481066266,-11.840501816205968,1549486910.7342632,26694.050944810977
82,8864931851.702858,5.290590857348901,0.4504379408781428,8864931948.722748,46462.526624304905,9003373999.157894,5.532101064148034,0.4393743386338993,9003373986.12403,46972.65116983966,1621807369.9442554,23.411183690796335,-12.43981688729991,1621807359.838037,27441.317468411053
83,8710143970.742857,5.360990194519301,0.46003368602044337,8710143920.19744,46280.6741987242,8848982042.947369,5.595672140946219,0.44898809009657203,8848981838.57735,46787.81848406792,1673979576.6144533,23.76310870042669,-12.872164767517468,1673979571.7087061,27865.07398498589
84,8506142190.445714,5.470219550577807,0.4726803253307519,8506142215.5581665,45993.33277717182,8648762421.894737,5.707166528138977,0.4614554255379135,8648762527.682205,46500.623548219075,1751724951.5691764,24.322356709050418,-13.516435810096164,1751724940.3656278,28532.772785473026
85,8337653956.022857,5.617110916498541,0.483125387189564,8337653941.956227,45858.49596008982,8491003715.368421,5.891422215583396,0.4712788152634073,8491003692.143791,46405.97541529254,1825328327.3694034,24.900411119824152,-14.126382331361881,1825328306.0655816,29212.19582880092
86,8191612591.542857,5.750853556131472,0.49217889848993057,8191612634.62328,45820.65816027641,8339996618.105263,5.9988032915994856,0.4806817864595654,8339996572.609748,46343.42421803976,1883166979.3739438,25.293051556645036,-14.605687852355734,1883166982.5949762,29709.76280110985
87,7991467920.822857,5.878688846132041,0.5045864316388897,7991467928.14045,45587.2069709628,8140773834.105263,6.13306578469527,0.49308707288663767,8140773738.542962,46113.755159892535,1968403387.6009586,25.86494047772019,-15.312036863559797,1968403413.6112037,30382.152464942774
88,7844431602.834286,5.953040244082208,0.5137016234287872,7844431658.849741,45379.49900637627,8004262992.842105,6.1707846773367026,0.5015873813130077,8004262941.706578,45897.73204945263,2038846340.7138352,26.34949480613031,-15.89579324300746,2038846366.850787,30956.33847047823
89,7686133312.365714,6.0032808208976345,0.5235149799356196,7686133362.637967,45073.99748620851,7851840269.473684,6.2542938539985204,0.5110784966100939,7851840271.01244,45620.404317768,2101023974.1223357,26.693532516004343,-16.4110554232542,2101023999.4166007,31363.73161909604
90,7511221669.302857,6.1797716616607286,0.534358248909314,7511221648.923421,44998.072811634884,7681020685.473684,6.402788283154631,0.5217151508196614,7681020805.530855,45525.85221884125,2185909781.9225626,27.36365566582855,-17.114498295737537,2185909741.3419347,32169.10317273813
91,7363057523.565714,6.317847089907816,0.5435433596845719,7363057523.3026495,44873.9373022529,7529582457.263158,6.597729433497839,0.5311449764742842,7529582416.525195,45437.90192494894,2264101630.6601086,27.834590757457196,-17.762469504792286,2264101615.875671,32748.270186971877
92,7173687140.937143,6.501548357039888,0.5552829635241725,7173687119.331679,44676.92741547312,7361093874.526316,6.802597244904381,0.5416364741808879,7361094093.502406,45279.962627824985,2362862327.008198,28.463292410843426,-18.58089311958552,2362862294.9137306,33520.206742062364
93,6997141252.388572,6.531378201706662,0.5662275393710813,6997141234.33097,44384.4311556639,7181128111.157895,6.767067493799476,0.5528426631424849,7181128178.395022,44934.759280769445,2448788758.245428,28.888316274878868,-19.292960447258586,2448788765.6688237,34031.680588563344
94,6844307160.502857,6.693901993900856,0.5757021531120694,6844307164.620075,44251.52506727627,7052503444.210526,6.942326675654368,0.5608519199870357,7052503429.847658,44850.174695077694,2543165300.3929877,29.578647439612173,-20.075052981720813,2543165306.5920715,34854.70667900271
95,6716056997.302857,6.756317623097116,0.5836527425170249,6716056982.757468,44034.269665163585,6919834085.052631,7.031239969700374,0.5691130190284182,6919834218.76528,44643.013689154075,2613437745.0109725,29.96129858521569,-20.657396277876554,2613437740.478443,35301.01698447747
96,6528438070.125714,6.881297002577515,0.5952837668624458,6528438064.0117855,43783.22498115131,6744942888.421053,7.19374175602383,0.5800032183182231,6744942943.273862,44438.97906977252,2713543414.507756,30.503578541699834,-21.486966097251358,2713543452.4716563,35964.88743408296
97,6369099088.457143,7.056614729815389,0.6051616353907681,6369099130.676523,43634.97839667865,6602818883.368421,7.343614707701138,0.5888530503372063,6602818968.450584,44304.999182663465,2814309067.2760754,31.170971999284163,-22.32200507936331,2814309138.3658266,36758.82728576468
98,6199822637.348572,7.147015227981975,0.6156555576095212,6199822695.376232,43354.856562746594,6436484688.842105,7.479945256328404,0.5992104128972726,6436484790.291617,44050.77604897399,2916964952.8525667,31.626648680397007,-23.172707525272973,2916964963.1719103,37315.52880717737
99,6050886138.148571,7.199421967650773,0.6248885527963508,6050886150.985018,42988.20442289761,6308218368.0,7.491706503516283,0.6071973515332375,6308218461.260959,43693.87906808602,3008820677.6259303,32.10202375061311,-23.93391028186765,3008820696.276491,37871.361449071446
100,5900925162.057143,7.3912602920260255,0.6341850545584578,5900925188.2250595,43011.2989126219,6140984939.789474,7.718448297990778,0.6176107150733612,6140984934.745701,43710.37246082958,3098721585.9795685,32.662285297344454,-24.67891369152021,3098721624.4670157,38555.479213222425
101,5776843751.131429,7.527217806371585,0.6418772103030504,5776843774.519477,42980.40257922173,6022464053.894737,7.809434750115294,0.6249908151554228,6022464136.158077,43650.560855275704,3206946109.602724,33.255657423936746,-25.57576379016223,3206946171.188598,39274.86847702067
102,5576920713.508572,7.6548481716566625,0.654271003214578,5576920710.465866,42723.77038082259,5801782730.105263,7.902939536532509,0.6387322954230181,5801782682.386174,43339.59386666198,3350069210.483037,34.03466497587352,-26.761815765921988,3350069238.9779587,40219.44426216263
103,5475421409.28,7.759258344022774,0.6605632294201793,5475421423.546829,42666.924397742405,5714957365.894737,8.090133078093658,0.6441387682053153,5714957373.166098,43367.21479276607,3415210142.1717744,34.29883528747841,-27.301634108483945,3415210108.699915,40542.31313429145
104,5319531517.0742855,7.795188930101095,0.6702272816638575,5319531539.834692,42327.99492512975,5568473869.473684,8.163440258705572,0.6532600564346495,5568473944.341568,43055.65764860103,3513480193.549754,34.63121511768998,-28.115991992687146,3513480168.5688796,40966.22773033524
