global_round,train_loss,train_mape,train_r2,train_mae,train_mse,dev_loss,dev_mape,dev_r2,dev_mae,dev_mse,test_loss,test_mape,test_r2,test_mae,test_mse
110,105428984.64285715,1.2710116373853495,0.16124640027237291,2582.956965525945,105428984.72433555,168818169.0526316,1.1021669618304744,-0.0007087673986543308,2531.846192011708,168818157.54032573,120563233.64005549,1.0860176398538903,0.0009000217844534752,2536.8525204340376,120563227.27247567
111,110669084.14285715,1.2797513002908047,0.11955813137439797,2598.8295530989058,110669083.68338129,168764069.2631579,1.116478731257879,-0.00038817022260184686,2541.3550701015874,168764073.24893448,120564742.36322361,1.1009038437027427,0.0008874108855712048,2547.1459414246015,120564749.05277914
112,110106572.0,1.320178229862085,0.12403328689758897,2614.789775939215,110106569.1338798,168679259.57894737,1.1450082807742654,0.00011454628681573098,2557.6344435638503,168679265.68288746,120363458.64346072,1.1292676101555796,0.002555471445927715,2563.7110138459047,120363461.12481652
113,110404392.26190476,1.3277533285387542,0.12166392904362378,2620.463046794846,110404390.79816034,168611421.57894737,1.1533340595726405,0.0005167224901736489,2562.464002069674,168611419.12465858,120425168.27115652,1.1373257431149928,0.002044090878362992,2568.8302591289935,120425170.35605898
114,112783527.11904761,1.3437958019333098,0.1027363562438739,2630.331963164466,112783533.83161093,168549978.84210527,1.1664674593940279,0.0008810614345863277,2570.7607031119496,168549955.65864357,120358676.02421491,1.1511888818923668,0.0025951317110611827,2576.9267239733595,120358675.24786404
115,112018484.83333333,1.3890807871482576,0.1088228312861681,2653.9924344619117,112018480.91920917,168361368.9473684,1.2111555952331912,0.0019988167948146174,2598.7219253213784,168361391.90598944,120252289.1809812,1.1952144536076337,0.0034766956478862188,2604.72444867757,120252295.31033216
116,111917066.61904761,1.3987930084203266,0.10962961185812259,2663.512594257082,111917070.85477057,168432966.7368421,1.221194849425081,0.0015745625372589611,2605.3811608615674,168432963.00081992,120261611.58986,1.2040705102861213,0.00339952743648142,2611.331665670275,120261607.33997151
117,113575803.33333333,1.4408493090184136,0.09643334376193513,2692.146674391769,113575804.8953553,168376972.52631578,1.2602850395704144,0.001906504115026908,2631.3981340935356,168376964.92486075,120177784.63967714,1.2437171554064597,0.004094162912435473,2637.5428146264157,120177784.402743
118,110858491.35714285,1.4342183166309095,0.1180512822868276,2679.7526282753265,110858490.40483908,168309481.89473686,1.2508150232179387,0.002306525915841129,2623.8634839810825,168309481.81130219,120086492.00428806,1.2349027746525278,0.00485071478748389,2629.893103062753,120086489.90004689
119,112183871.71428572,1.4380025926654438,0.10750704623127283,2684.972385889008,112183871.42542948,168335350.52631578,1.255315328240843,0.0021531551986515574,2626.9439597631754,168335355.23495957,120125492.62731744,1.2386457783750304,0.004527528758272892,2632.891486343151,120125489.35109346
120,108613701.28571428,1.4637334745672124,0.13590998774812857,2694.3100578437247,108613701.0103288,168293983.2631579,1.2804165466146562,0.00239845629091906,2643.238244433152,168293973.2866962,120003818.04716863,1.2624956803890683,0.005535801482557279,2647.823651290087,120003819.23172499
121,111098606.38095239,1.4667221059567555,0.11614099457870308,2700.6447265545526,111098608.23403749,168268056.31578946,1.2869001666403173,0.0025520684535473848,2647.0487229447617,168268059.13153383,120009848.2371043,1.2690436964811274,0.0054858027005678656,2651.3905320886197,120009852.67647302
122,113155380.26190476,1.4874540242351026,0.09977810640730134,2718.310354204405,113155377.57324383,168212631.47368422,1.3006485414649938,0.0028807044130131354,2656.652380466461,168212618.70871958,120035189.04502459,1.2818424331164509,0.005275799548201676,2660.925465997914,120035194.14213082
123,110431942.90476191,1.5070165249611909,0.1214447554978545,2726.2140387083805,110431940.3006798,168327664.31578946,1.3199523094500265,0.002198798814315839,2671.137358401951,168327655.22137824,120072282.83364864,1.3008496776317342,0.004968421717631566,2675.753734744983,120072285.98884645
124,108708439.73809524,1.525898558743461,0.13515624778499313,2738.280161954108,108708444.018389,168280935.89473686,1.340128149895404,0.0024758281360753864,2685.4816775823892,168280920.76555285,120045348.526422,1.3226474676812587,0.0051916722884990385,2691.0942568789214,120045345.93289502
125,110131324.8095238,1.5400594770591332,0.12383636277416976,2747.0557332379476,110131321.94615573,168272164.0,1.3513853707012458,0.0025277100219278648,2692.7151017126284,168272168.36458996,119969173.13229915,1.33274374608009,0.005822910908080847,2697.4053209477765,119969173.21062978
126,110358189.57142857,1.566376106301698,0.12203147369446699,2763.1990188814343,110358191.4621553,168210404.21052632,1.371446034822129,0.0028938388092520917,2706.12071295161,168210402.9546004,119844849.93038215,1.352567370438907,0.006853166909054242,2709.9714591403613,119844850.32893376
127,106702059.33333333,1.5767050989084386,0.1511183157665248,2768.3939466563365,106702056.65749995,168243873.0526316,1.3873685283107864,0.002695459571093406,2717.8594568905078,168243869.25225985,119969390.68684575,1.369107541231913,0.005821148700904666,2722.5297256529384,119969385.85940258
128,111444529.52380952,1.6067006565750606,0.1133889264560769,2791.231495679844,111444535.51012298,168147534.31578946,1.4120961154261074,0.003266487995280065,2734.8744263586245,168147537.56254664,119805588.79278597,1.3936311836701774,0.00717855381958743,2738.5092810771403,119805585.2935004
129,110392328.8095238,1.5954334324600308,0.12175987953400447,2779.8079817408607,110392330.08952324,167993434.84210527,1.4037721556921257,0.004179846763108674,2726.916120428788,167993455.22672486,119733929.4526422,1.3856834074381272,0.0077723585019709995,2730.890823847289,119733929.7931114
130,108748597.52380952,1.603096962532532,0.134836798801097,2783.196790717897,108748597.86339703,168064319.78947368,1.4101376602665798,0.0037597813297604032,2732.3522811688877,168064319.67281997,119711587.30861396,1.3921518625224705,0.007957444863054275,2735.8738985344294,119711595.08236887
131,106719717.11904761,1.6353263946096264,0.1509778200836014,2805.3671959525063,106719716.57241844,168044958.7368421,1.438822668258621,0.003874427157405713,2753.7936504263625,168044979.08340645,119773224.92193215,1.419777256281686,0.007446753281225682,2757.348108937031,119773221.17243856
132,111166350.90476191,1.657295258108094,0.11560200870457782,2821.470512832914,111166357.25294869,167904300.52631578,1.4588288351978629,0.004708442336134766,2766.9301486266286,167904281.89915,119658236.58973388,1.4393945812562436,0.008399581669451317,2769.8007604969694,119658241.62281783
133,104572629.66666667,1.6245770570156501,0.16805925419157408,2786.431591272354,104572628.01598899,167957395.78947368,1.4275806044874653,0.004393664820510845,2743.575498279772,167957384.42203578,119691838.96052466,1.409317984773508,0.00812108872602546,2747.370293926961,119691847.8772109
